Project Name,AI Agent,Check Category,Check ID,Check Description,Result,Comments
Test urban pole sub ,TRANSFORMER,"Validation of ""TRANSFORMERS"" columns - FLOC,Technical Object , Location",9,Substations Superior Function needs to be POLEXXXXXXXX (for poles) or DSUBXXXXXXXX (for ground),Fail,"3 entries failed. ID:DSTX10004690. Value:nan. ID not found in DSUB GND or DSUB POLE. ID:DSTX10005670. Value:nan. ID not found in DSUB GND or DSUB POLE. ID:DSTX10005832. Value:DSUB00096203. Pole data, but does not start with POLE. "
Test urban pole sub ,DD_DB,Compare supply requirments in Design Brief against Design Drawing,3,Search for the method of supply requirements from the Design Brief in the Design Drawing and list any missing scope in the Design Drawing.,Fail,Supply Requirements in Design Brief file are missing
Test urban pole sub ,DD_DB,Method of Supply requirements in Design Brief,1,"Extract the supply requirements from the Design Brief, including HV, LV, SL, Earthing, Easements, and any substation requirements.",Fail,Supply Requirements in Design Brief file are missing
Test urban pole sub ,DD_DB,Compare supply funding arrangements in Design Brief against Design Drawing,4,Search for the funding arrangement outlined in the Design Brief within the Design Drawing and list any missing scope from the Design Drawing,Fail,Funding Requirements in Design Brief file are missing
Test urban pole sub ,DD_DB,Funding arrangement  in Design Brief,2,"Extract the determination of funding requirements from the Design Brief, including all items listed under this section.",Fail,Funding Requirements in Design Brief file are missing
Test urban pole sub ,DD_DB,Checks for Padmounted/Indoor Substation - FINAL HV CIRCUIT,37,"Check & ensure the following asset numbers are present:-TRF,LV BUSBAR,HV BUSBAR in Design Drawing",Fail,SAP DATA is missing in DD
Test urban pole sub ,DD_DB,Check Isolations,28,Check isolations points.,Info,Isolation points found
Test urban pole sub ,DD_DB,AI to Determine from TAL the Type of Substaion Prior to Performing Checks,30,"Substation types are classified as Ground or Pole based on the data available in the DSUB. If data is present in any of the tabs, the substation type is determined to be either Ground or Pole.",Info,Type of Substaion is DSUB (POLE) and DSUB (GRND)
Test urban pole sub ,COLUMN,Scan Spread Sheet ,1,"Scan Column tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'COLUMN' tab contains data. Proceeding with related checks.
Test urban pole sub ,COLUMN,Validation of Assembly Number detail,2,"Ensure each assembly number has a Functional Location, Reference Functional Location, Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, Equipment Owner, EQ Reference Equipment Desc, EQ Technical Object Type",Pass,0 entries failed. 
Test urban pole sub ,COLUMN,"Validation of ""Column"" - Assembly Number detail",3,Ensure that the Superior Function Location matches the Functional Location in the top tab,Pass,0 entries failed. 
Test urban pole sub ,COLUMN,"Validation of ""COLUMN"" columns - FLOC, Technical Object, Location",4,"Check to see FLOC Construction Type,Technical Object , Location, Equipment Owner has been filled .",Pass,0 entries failed. 
Test urban pole sub ,COLUMN,"Validation of ""COLUMN"" - Equipment Characteristics detail",5,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Fail,"13 entries failed. Missing values found in the following headers: {'Columns - Streetlight Tariff Class': ['CLMN02002180 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 10, dtype: object', 'CLMN02002181 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 11, dtype: object', 'CLMN02002182 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 12, dtype: object', 'CLMN02002183 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 13, dtype: object', 'CLMN02002184 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 14, dtype: object', 'CLMN02002185 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 15, dtype: object', 'CLMN02002186 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 16, dtype: object', 'CLMN02002187 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 17, dtype: object', 'CLMN02002188 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 18, dtype: object', 'CLMN02002189 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 19, dtype: object', 'CLMN02002190 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 20, dtype: object', 'CLMN02002191 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 21, dtype: object', 'CLMN02002193 - Columns - Streetlight Tariff Class                              NaN\nColumns - Streetlight Tariff Class    (4) Annuity, Gift by Customer\nName: Unnamed: 22, dtype: object']}"
Test urban pole sub ,COLUMN,"Validation of ""COLUMN"" column - Superior Function Location",6,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Pass,0 entries failed. 
Test urban pole sub ,DD_DB,Notes-Field Checks,17,"For projects involving padmounted substation easements the following notes are required""AN EASEMENT FOR PADMOUNT SUBSTATION MINIMUM xxm x xxm IS TO BE CREATED IN FAVOUR OF ENDEAVOUR ENERGY WITHIN PROPOSED LOT XXXX.",Pass,Check not needed. No Padmount Substation Easement in design drawing
Test urban pole sub ,POLE,"Validation of  Functional Location of ""POLE""",3,Check the Fuctional Location Numbers against the Design Drawing omitting all the letters and numbers before the first digit ie POLE00165863 would only be shown as 165863 in the design.,Pass,0 entries failed. 
Test urban pole sub ,DD_DB,Pole Substations-Urban-SITE PLAN @ FINAL LV CIRCUIT & FINAL HV CIRCUIT,31,"Check & ensure the following asset numbers are present:-SUBSTATION ,HV DOF, TRF,LV BUSBAR,1 x LV ISOLATOR , 2 X LV FUSES or 1 X LV Circuit breaker",Pass,
Test urban pole sub ,POLE,Reading asset numbers-POLE SCHEDULE TABLE,12,AI to read the asset numbers for new poles in the POLE SCHEDULE TABLE is consistent with TAL and the rest of design drawing.,Pass,0 entries failed. 
Test urban pole sub ,DD_DB,Notes-Field Checks,18,"For projects involving padmounted substation easements the following notes are required - A RESTRICTION ON THE USE OF LAND, IN RELATION TO THE FIRE RATING OF BUILDING,MEASURED 3m FROM THE SUBSTATION PLINTH, IS TO BE CREATED IN FAVOUR OF ENDEAVOUR ENERGY WITHIN PROPOSED LOT xxx.",Pass,Check not needed. No Padmount Substation Easement in design drawing
Test urban pole sub ,POLE,Scan Spread Sheet ,1,"Scan POLE tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'POLE' tab contains data. Proceeding with related checks.
Test urban pole sub ,POLE,"Validation of ""POLE"" column - Special Use Code",4,Check to see the Special Use Code has been filled.,Pass,0 entries failed. 
Test urban pole sub ,POLE,"Validation of ""POLE"" - Equipment Characteristics detail",5,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
Test urban pole sub ,POLE,"Validation of ""POLE"" - Assembly Number detail",6,"Ensure each assembly number has a Functional Location, Reference Functional Location, Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, Equipment Owner, EQ Reference Equipment Desc, EQ Technical Object Type",Pass,0 entries failed. 
Test urban pole sub ,POLE,"Validation of ""POLE"" - Assembly Number detail",7,Ensure that the Superior Function Location matches the Functional Location in the top tab,Pass,0 entries failed. 
Test urban pole sub ,POLE,"Validation of ""POLE"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",9,"Check that FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Pass,0 entries failed. 
Test urban pole sub ,POLE,Validation of FLOC Construction Type,11,"FLOC Construction Type needs to match the correct type of Pole substation ie Urban,Rural,Semi-Rural, Coastal as per the design.",Fail,2 entries failed. No construction type information found in design drawing.ID: DSUB00096203 not found in Design Drawing. ; ID: DSUB00097168 not found in Design Drawing. 
Test urban pole sub ,POLE,Validation of FLOC Construction Type,13,"FLOC Construction Type needs to match the correct type of Pole substation ie Urban,Rural,Semi-Rural, Coastal as per the design.",Fail,ID: 1000886. Expected construction in design drawing but not found. ID: 1000887. Expected construction in design drawing but not found. ID: 1000888. Expected construction in design drawing but not found. ID: 1000889. Expected construction in design drawing but not found. ID: 1000890. Expected construction in design drawing but not found. ID: 1000891. Expected construction in design drawing but not found. ID: 1000892. Expected construction in design drawing but not found. ID: 1000893. Expected construction in design drawing but not found. ID: 1000894. Expected construction in design drawing but not found. ID: 1000895. Expected construction in design drawing but not found. ID: 1000896. Expected construction in design drawing but not found. ID: 1000897. Expected construction in design drawing but not found. ID: 1000899. Expected construction in design drawing but not found. ID: 1003923 not found in DD. ID: 1003924 not found in DD. ID: 1003927 not found in DD. 
Test urban pole sub ,STREETLIGHT,Scan Spread Sheet ,1,"Scan STREETLIGHT tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'STREETLIGHT' tab contains data. Proceeding with related checks.
Test urban pole sub ,STREETLIGHT,"Validation of ""STREETLIGHT"" - Equipment Characteristics detail",2,"Check the EQ Reference Equipment Desc, EQ Technical Object Type, Streetlight Vertical Support, Streetlight Tariff Class,Streetlight Tariff Rate, has been filled as per the guidelines.",Pass,0 entries failed. 
Test urban pole sub ,STREETLIGHT,"Validation of Column ""STREETLIGHT"" - Switchgear Numbers",3,Check the Fuctional Location Numbers against the design drawing omitting all the letters and numbers before the first digit ie PILL00165863 would only be shown as 165863 in the design.,Pass,
Test urban pole sub ,STREETLIGHT,"Validation of ""STREETLIGHT"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",4,"Check that Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Pass,0 entries failed. 
Test urban pole sub ,STREETLIGHT,Validation of -Streetlight Characteristics detail,6,"Check the Billing Customer,Equipment Owner, Streetlight Luminaire, Streetlight Tariff Class,Streetlight Tariff Rate has been filled as per the guidelines.",Pass,0 entries failed. 
Test urban pole sub ,STREETLIGHT,"Validation of ""STREETLIGHT"" - Bracket/Outreach Characteristics",7,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
Test urban pole sub ,STREETLIGHT,"Validation of ""STREETLIGHT"" - Lantern Characteristics",8,"Check the EQ Reference Equipment Desc, EQ Technical Object Type has been filled as per the guidelines.",Pass,0 entries failed. 
Test urban pole sub ,TRANSFORMER,Validation of  Column TRANSFORMERS -Location,5,Ensure the correct location is selected - Match location with design drawing,Fail,
Test urban pole sub ,HV_LV_SWITCHES,Scan Spread Sheet ,1,"Scan HV/LV Switches tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'HV_LV Switches' tab contains data. Proceeding with related checks.
Test urban pole sub ,HV_LV_SWITCHES,FLOC Construction Type check,2,"Check that the FLOC Construction Type - Ensure the correct item is selected.  For Drop out Fuse need to select ""Gen,Drop Out Fuse PL Sub"". For other swiches it needs to be ""Gen, Link/Fuse Pole Mount"".",Pass,0 entries failed.
Test urban pole sub ,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner",3,Check that the location and Equipment Owner has been selected.,Pass,0 entries failed. 
Test urban pole sub ,HV_LV_SWITCHES,Equipment Characteristics - EQ Equipment Description,4,"Check and ensure that the EQ Equipment Description is slected correctly. For Drop Out Fuse it needs to be ""Drop Out Fuse PL Sub"". For other swiches it needs to be ""Gen, Link/Fuse Pole Mount"". ",Pass,0 entries failed.
Test urban pole sub ,HV_LV_SWITCHES,Function Location check,7,"Refer to 2.6.1 -On the number of required switches. All swicthes need to be in the format DSSW00XXXXXX, ie DSSW0040706 in TAL is shown as 40706 in design. Pole Substation swicthes cannot have the prefix SWIT00XXXXXX.",Pass,0 entries failed. 
Test urban pole sub ,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Superior Functional Location check for HV Switches:",15,Check and ensure the Superior Function Location has the correct HV SWITCHGEAR number ie HVDGXXXXXXXX or SWITXXXXXXXX.,Pass,0 entries failed. 
Test urban pole sub ,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -FLOC Construction check for HV Switches:",16,"Check and ensure the FLOC Construction Type is correct. For earth switches its ""Gen, Earth Switch - Dist"" for  all other swicthes its Gen, ""HV Switch/Fuse Unit"".",Pass,0 entries failed. 
Test urban pole sub ,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner",17,Check and ensure the Location is the relevant depot,Fail,Location nan is missing in DD
Test urban pole sub ,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner",18,Check Equipment owner is Endeavour Energy.,Fail,"14 entries failed. Expected value: Endeavour Energy. {'HV/LV Switches - Functional Location': 'DSSW00403966', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00403967', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00403968', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00403969', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00406748', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00406749', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245981', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245982', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245983', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245984', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245985', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245986', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245987', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245988', 'HV/LV Switches - Equipment Owner': nan}"
Test urban pole sub ,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -Superior Functional Location check for LV Switches:",22,Check and ensure the Superior Function Location has the correct LV SWITCHGEAR number ie LVDGXXXXXXXX,Pass,0 entries failed. 
Test urban pole sub ,HV_LV_SWITCHES,"Validation of  Column ""HV_LV Switches"" -PM  (GND) Substations -FLOC Construction check for LV Switches:",24,"Check and ensure the FLOC Construction Type is correct. For switches with DSSWXXXXXXXX it should be ""Gen, Isol/Disc - LV - GD"" for other switches ie SWITXXXXXXX it should be ""Gen, Switch Fuse - LV""",Pass,0 entries failed.
Test urban pole sub ,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner Checks for LV Switches:",25,Check and ensure the Location is the relevant depot,Fail,Location value in the TAL is missing
Test urban pole sub ,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -PM  (GND) Substations -Location & Equipment Owner Checks for LV Switches:",26,Check and ensure the Equipment owner is Endeavour Energy,Pass,
Test urban pole sub ,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -PM  (GND) Substations -Equipment Characteristics check for LV Switches:",27,"Check and ensure that the EQ Equipment Description is slected correctly. For switches with prefix SWITXXXXXXXX its ""Gen, Switch Fuse - LV"",for switches with prefix DSSWXXXXXXXX its ""Gen, Isol/Disc - LV - GD""",Pass,0 entries failed.
Test urban pole sub ,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches:Superior Functional Location check for HV& LV Switches:",28,"Check and ensure the Superior Function Location has the correct reference, ie PILLXXXXXXXX or POLEXXXXXXX.",Fail,"4 entries failed. Superior Functional Locations not found in POLE or PILLAR tabs: {'HV/LV Switches - Functional Location': 'DSSW00407357', 'HV/LV Switches - Superior Functional Location': 'DSUB00096203'}; {'HV/LV Switches - Functional Location': 'DSSW00407358', 'HV/LV Switches - Superior Functional Location': 'DSUB00096203'}; {'HV/LV Switches - Functional Location': 'DSSW00407359', 'HV/LV Switches - Superior Functional Location': 'DSUB00096203'}; {'HV/LV Switches - Functional Location': 'DSSW00407360', 'HV/LV Switches - Superior Functional Location': 'DSUB00096203'}"
Test urban pole sub ,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches -Location & Equipment Owner checks",29,Check and ensure the Location is the relevant depot,Fail,Location nan is missing in DD
Test urban pole sub ,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches -Location & Equipment Owner checks",30,Check and ensure the Equipment owner is Endeavour Energy,Fail,"14 entries failed. Expected value: Endeavour Energy. {'HV/LV Switches - Functional Location': 'DSSW00403966', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00403967', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00403968', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00403969', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00406748', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'DSSW00406749', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245981', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245982', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245983', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245984', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245985', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245986', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245987', 'HV/LV Switches - Equipment Owner': nan}; {'HV/LV Switches - Functional Location': 'SWIT00245988', 'HV/LV Switches - Equipment Owner': nan}"
Test urban pole sub ,HV_LV_SWITCHES,"Validation of Column ""HV_LV Switches"" -All other HV & LV Switches -Equipment Characteristics checks:",31,Check and ensure that the EQ Equipment Description is selected correctly. This needs to be the same as superior function location.,Fail,0 entries failed. Missing values found in the following headers: {'HV/LV Switches - EQ Reference Equipment Desc': []}
Test urban pole sub ,DSUB_GRND,Scan Spread Sheet ,1,"Scan Transformer tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The 'DSUB (GRND)' tab contains data. Proceeding with related checks.
Test urban pole sub ,DSUB_GRND,"Validation of  Column ""Substations"" - Fuctional Location Numbers",2,Check and ensure the Fuctional Location Numbers is correct DSUBXXXXXX by checking against drawing,Warning,FLOC numbers not found in Design Drawing: 97022
Test urban pole sub ,DSUB_GRND,"Validation of column ""Substations"" - Equipment Owner",3,Check to see if Equipment Owner has been filled.,Fail,0 entries failed. Missing values found in the following headers: {'Substations - Equipment Owner': []}
Test urban pole sub ,DSUB_GRND,"Validation of ""DSUB (GND)"" - Cubicle Characteristics",4,Cubicle: Check and see that the EQ Reference Equipment Desc and EQ Technical Object Type has been filled,Fail,"0 entries failed. Missing values found in the following headers: {'Cubicle Characteristics - EQ Reference Equipment Desc': [], 'Cubicle Characteristics - EQ Technical Object Type': []}"
Test urban pole sub ,DSUB_GRND,"Validation of ""DSUB (GND)"" -  Lock Characteristics",5,Lock: Check and see that the EQ Reference Equipment Desc and EQ Technical Object Type has been filled,Fail,"0 entries failed. Missing values found in the following headers: {'Lock Characteristics - EQ Reference Equipment Desc': [], 'Lock Characteristics - EQ Technical Object Type': []}"
Test urban pole sub ,DSUB_GRND,"Validation of ""Substations"" columns - Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location",6,"Check that Superior Functional Location, FLOC Construction Type, FLOC Technical Object Type, Location, has been filled",Fail,"0 entries failed. Missing values found in the following headers: {'Substations - FLOC Construction Type': [], 'Substations - FLOC Technical Object Type': [], 'Substations - Location': []}"
Test urban pole sub ,DSUB_GRND,"Validation of ""Substations"" column - Superior Function Location",7,For Pole Substations Superior Function needs to be the pole number ie POLEXXXXXXXX,Fail,1 entries failed. ID:DSUB00097022. Value:not found. ID not found in DSUB POLE. 
Test urban pole sub ,DD_DB,Design Compliance & Indemnity Sticker-Correct,20,Check if the correct DESIGN COMPLIANCE & INDEMNITY STICKER has been used compare this against EE's DESIGN COMPLIANCE & INDEMNITY SRTICKER.,Fail,
Test urban pole sub ,DD_DB,Design Compliance & Indemnity Sticker-Name,21,Check if L3 ASP Designers name is on the Check Design Compliance & Indemnity Sticker,Pass,
Test urban pole sub ,SLCP,Scan Spread Sheet ,1,"Scan SLCP tab to verify if data is present. If data is found, proceed with the relevant checks for that tab. If no data is found, indicate that there is no data in this tab and do not proceed with the associated tests.",Info,The data in the 'SLCP' tab does not exist.
Test urban pole sub ,DD_DB,NOTES on design drawing,15,Extract all the notes under the NOTES in the Design Drawing,Info,1. THIS DRAWING IS TO BE READ IN CONJUNCTION WITH RELEVANT ENDEAVOUR ENERGY'S STANDARDS AND THE NETWORK CONNECTION POLICY.
